@relation accumulated

@attribute 'Key ' {F,I,R,E,G,A,T,J,O,D,H,L,P}
@attribute ' Dwelltime' numeric
@attribute ' Dwelltimemean' numeric
@attribute ' Dwelltimestandarddeviation' numeric
@attribute ' Upflighttime' numeric
@attribute ' Upflighttimemean ' numeric
@attribute ' Upflighttimestandarddeviaton' numeric
@attribute Downflighttime numeric
@attribute ' Downflihttimemean' numeric
@attribute ' Downflighttimestandarddeviation' numeric
@attribute ' user' numeric

@data
F,141,192,242,484,519029,1703104,516,519034,1702897,?
I,109,192,242,344,519029,1703104,359,519034,1702897,?
R,94,192,242,219,519029,1703104,188,519034,1702897,?
E,125,192,242,51141,519029,1703104,51156,519034,1702897,?
G,110,192,242,934,519029,1703104,422,519034,1702897,?
E,622,192,242,110,519029,1703104,669,519034,1702897,?
R,63,192,242,437,519029,1703104,375,519034,1702897,?
A,125,192,242,188,519029,1703104,250,519034,1702897,?
T,63,192,242,116339,519029,1703104,116308,519034,1702897,?
J,94,192,242,499,519029,1703104,528,519034,1702897,?
O,65,192,242,1344,519029,1703104,1190,519034,1702897,?
G,219,192,242,107690,519029,1703104,107847,519034,1702897,?
D,62,192,242,547,519029,1703104,562,519034,1702897,?
E,47,192,242,312,519029,1703104,234,519034,1702897,?
A,125,192,242,94,519029,1703104,157,519034,1702897,?
R,62,192,242,7401530,519029,1703104,7400845,519034,1702897,?
H,747,192,242,11,519029,1703104,752,519034,1702897,?
E,6,192,242,74,519029,1703104,13,519034,1702897,?
L,67,192,242,135,519029,1703104,134,519034,1702897,?
L,68,192,242,180,519029,1703104,192,519034,1702897,?
O,56,192,242,4254248,519029,1703104,4253540,519034,1702897,?
P,764,192,242,779,519029,1703104,782,519034,1702897,?
R,761,192,242,36,519029,1703104,779,519034,1702897,?
